ID,Section,Question,ExpectedAnswer
1,Setup & Aliases,What is the command to create a shortcut alias 'k' for kubectl?,alias k=kubectl
2,Setup & Aliases,How do you enable bash autocompletion for the 'k' alias (for kubectl)?,complete -F __start_kubectl k
3,Imperative Commands,What kubectl flag(s) allows you to generate YAML without creating the object?,--dry-run=client -o yaml
4,Core Concepts,How do you delete a pod 'mypod' instantly (force delete)?,kubectl delete pod mypod --force --grace-period=0
5,Core Concepts,What command displays all pods across every namespace?,`kubectl get pods -A` or `kubectl get pods --all-namespaces`
6,Core Concepts,How do you view the documentation for the 'Pod' resource fields?,kubectl explain pod --recursive
7,Cluster Config,What command shows the current context of the cluster?,kubectl config current-context
8,Cluster Config,How do you switch to a different context named 'mycontext'?,kubectl config use-context mycontext
9,Cluster Config,Which command lists all available contexts in kubeconfig?,kubectl config get-contexts
10,Core Concepts,How do you run a temporary pod named 'test' with an nginx image?,kubectl run test --image=nginx --rm -it -- restart=Never -- sh
11,Scheduling,What command labels a node named mynode with 'disk=ssd'?,kubectl label node mynode disk=ssd
12,Scheduling,How do you remove a label 'disk' from a node named mynode?,kubectl label node mynode disk-
13,Monitoring,What command shows the resource usage (CPU/Mem) of pods?,kubectl top pod
14,Workloads,How do you scale a deployment 'web' to 5 replicas?,kubectl scale deployment web --replicas=5
15,Workloads,What is the command to check the rollout status of a deployment named mydeployment?,kubectl rollout status deployment mydeployment
16,Workloads,How do you rollback a deployment named mydeployment to its previous version?,kubectl rollout undo deployment mydeployment
17,Workloads,How do you check the rollout history of a deployment named mydeployment?,kubectl rollout history deployment mydeployment
18,Workloads,What command updates the image of a deployment 'web' to 'nginx:1.18'?,kubectl set image deployment/web nginx=nginx:1.18
19,Networking,How do you expose a deployment 'web' as a NodePort service on port 80?,kubectl expose deployment web --type=NodePort --port=80
20,Config & Secrets,What command creates a configmap from a literal value?,kubectl create configmap <name> --from-literal=key=value
21,Config & Secrets,How do you create a secret from a text file ./myfile.txt?,kubectl create secret generic <name> --from-file=./myfile.txt
22,Logging,How do you view the logs of a pod named 'app'?,kubectl logs app
23,Logging,How do you stream the logs of a pod in real-time?,kubectl logs -f app
24,Logging,What command shows logs for a pod named mypod with multiple containers for container mycontainer?,kubectl logs mypod -c mycontainer
25,Troubleshooting,How do you execute a shell command inside a running pod named mypod?,kubectl exec mypod -- <command>
26,Troubleshooting,How do you get an interactive shell inside a running pod named mypod?,kubectl exec -it mypod -- sh
27,Maintenance,What command is used to drain a node named mynode for maintenance?,kubectl drain mynode --ignore-daemonsets
28,Maintenance,How do you mark a node named mynode as unschedulable without draining?,kubectl cordon mynode
29,Maintenance,How do you make a cordoned node named mynode schedulable again?,kubectl uncordon mynode
30,Etcd Backup,What command is used to back up an etcd snapshot?,etcdctl snapshot save <file-path>
31,Etcd Backup,How do you check the status of an etcd snapshot?,etcdctl snapshot status <file-path>
32,Etcd Backup,What etcdctl flag is used to restore an etcd snapshot to a specific directory?,--data-dir <directory-path>
33,Core Concepts,How do you identify which node a pod named mypod is running on?,kubectl get pod mypod -o wide
34,Scheduling,Where are the static pod manifest files usually stored?,/etc/kubernetes/manifests
35,Scheduling,What component is responsible for managing static pods?,The kubelet service
36,Troubleshooting,How do you restart the kubelet service on a node?,systemctl restart kubelet
